f_id,text,q_id,m_id,short_text
CVF-F1,The COVID-19 Vaccine is unsafe because the virus is not from nature. It's a bioweapon from PLA's lab.,Q1,1,The COVID-19 Vaccine is unsafe because the virus is a bioweapon.
CVF-F3,The COVID vaccine renders pregnancies risky and unsafe for unborn babies by causing causes infertility or miscarriages.,Q1,2,The COVID vaccine renders pregnancies risky. 
CVF-F4,Bill Gates admitting Covid-19 vaccine is unsafe.,Q1,3,Bill Gates admitting Covid-19 vaccine is unsafe 
CVF-F6,The COVID-19 Vaccine Will Make You Gay.,Q1,4,The COVID-19 Vaccine Will Make You Gay
CVF-F7,Aliens are allergic to the COVID-19 vaccine.,Q1,5,Aliens are allergic to the COVID-19 vaccine 
CVF-F9,COVID-19 vaccines make you 5G compatible and Bluetooth-enabled.,Q1,6,COVID-19 vaccines make you 5G compatible.
CVF-F10,"COVID-19 vaccine is an unsafe poison, no one should take it.",Q1,7,COVID-19 vaccine is an unsafe poison.
CVF-F11,"The emergency authorization of the COVID-19 vaccines hides that it is unauthorized, untested, and unsafe and not understood injection of a new type of vaccine.",Q1,8,The emergency authorization of the COVID-19 vaccines hide that it is unsafe and not understood. 
CVF-F18,The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA,Q1,9,The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA
CVF-F23,"The COVID-19 vaccines have not been tested for at least 5 years, as they should, and are therefore not safe experimentation.",Q2,10,"The COVID-19 vaccines have not been tested for at least 5 years, as they should. "
CVF-F25,The mRNA will overwhelm the immune system with the spike proteins because your immune system will be depressed.,Q3,11,The mRNA will overwhelm the immune system.  
CVF-F26,COVID-19 Vaccines using mRNA override and destroy the immune system by stopping the natural immune system from fighting every other disease.,Q3,12,COVID-19 Vaccines using mRNA override the immune system 
CVF-F27,"COVID-19 Vaccines are gene modifying injections which make children's immune system attack organs, including brain and will kill you.",Q3,13,"COVID-19 Vaccines are gene modifying injections which make children’s immune system attack organs, including brain."
CVF-F31,"People having severe allergies, asthma, or immunocompromised should not receive COVID-19 vaccines.",Q4,14,People having severe allergy should not receive COVID-19 vaccines. 
CVF-F35,The mRNA COVID-19 Vaccine replaces your natural genetic code with their synthetic unnatural genetic code.,Q5,15,The mRNA COVID-19 Vaccine replaces your natural genetic code with their synthetic genetic code.
CVF-F36,"The COVID-19 Vaccine contains unsafe toxins which are injected into your bloodstream such as formaldehyde, mercury aluminum, or the spike protein.",Q5,16,"The COVID-19 Vaccine contains unsafe toxins which are injected into your bloodstream such as formaldehyde, mercury aluminum, or the spike protein."
CVF-F37,The COVID-19 Vaccine injects the dead SARS-COV2 virus in your body.,Q5,17,The COVID-19 Vaccine injects the dead SARS-COV2 virus in your body.
CVF-F38,The COVID-19 Vaccine is using risky nanotechnology.,Q5,18,The COVID-19 Vaccine is using nanotechnology. 
CVF-F39,The COVID-19 Vaccine is a satanic plan to microchip people by controling the general population either through microchip tracking or nanotransducers in our brains.,Q5,19,The COVID-19 Vaccine is a satanic plan to microchip people. 
CVF-F40,The mRNA COVID-19 Vaccine introduces the viral surface protein characteristics of SARS-COV 2 such that the body builds antibodies against it.,Q5,20,The mRNA COVID-19 Vaccine introduces the viral surface protein characteristics of SARS-COV 2 such that the body builds antibodies against it.  
CVF-F41,The mRNA COVID-19 Vaccine is gene therapy that activates a toxin in your body.,Q5,21,The mRNA COVID-19 Vaccine is gene therapy that activates a toxin in your body. 
CVF-F47,The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.,Q8,22,The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.
CVF-F54,Strong immune system is all you need to prevent COVID-19 infection.,Q10,23,Strong immune system is all you need to prevent COVID-19 infection. 
CVF-F55,Homeopathic / Oriental medicine / alternative medicine / naturopath may Be Alternative to COVID-19 Vaccine.,Q11,24,Homeopathic/ Oriental medicine/alternative medicine/naturopath may Be Alternative to COVID-19 Vaccine. 
CVF-F56,Garlic increases immunity against COVID-19 and is completely free of sides effects.,Q11,25,Garlic increases immunity against COVID-19. 
CVF-F57,Hydroxychloroquine protects against COVID-19.,Q11,26,Hydroxychloroquine protects against COVID-19. 
CVF-F58,Ivermectin and vitamins are alternatives to the COVID-19 vaccine.,Q11,27,Ivermectin and vitamins are alternatives to the COVID-19 vaccine. 
CVF-F64,Natural immunity last longer and is better than vaccine-induced immunity.,Q12,28,Natural immunity last longer than vaccine-induced immunity. 
CVF-F65,Children may be better protected by natural immunity generated through COVID-19 infection than by vaccination.,Q12,29,Children may be better protected by natural immunity generated through COVID-19 infection than by vaccination. 
CVF-F66,"Natural immunity is always the best way to become immune to diseases, better than a vaccine.",Q12,30,Natural immunity is always the best way to become immune to diseases. 
CVF-F75,Almost no COVID-19 infections in children and not long-term study of side effects do not justify the risk of vaccinating children.,Q14,31,Almost no COVID-19 infections in children and not long-term study of side effects do not justify the risk of vaccinating children.  
