m_id,text,theme,concern
7,Some Scientists explain why HPV vaccine is unsafe.,1,1
8,Gardasil creator says the vaccines are just as dangerous as HPV.,1,2
9,Multiple countries ban the HPV vaccine. ,1,3
10,HPV vaccine proven unsafe in Europe.,1,4
11,Lack of research about HPV vaccine safety.,1,5
12,HPV Vaccine contains borax.,2,1
22,"Through the HPV vaccine, Big Pharma puts toxins in the bloodstream. ",2,2
23,The HPV vaccine is loaded with aluminum.,2,3
24,HPV vaccine contains unnatural lab engineered DNA .  ,2,4
25,"Researchers added a toxin that weakens the blood-brain barrier, then attributed the neurological effects to HPV vaccine.",2,5
33,Homeopathic medicines are an effective alternative to conventional vaccines,3,1
34,Vitamins May Be Alternative to HPV Vaccine.,3,2
35,"Mushroom extract, AHCC, helpful in treating HPV. ",3,3
18,Vaccines alter the immune system of an unborn child,4,1
19,HPV vaccine may cause the immune system to attack the body.,4,2
20,The HPV Vaccine specifically was designed to destroy a young girl's immune system.,4,3
21,The HPV vaccine is linked to nervous and immune system disorders in some young women and girls.,4,4
32,"Improved living standards, not vaccination, have reduced infectious diseases.",4,5
36,Building immunity by naturally fighting off a disease is better protection than getting a vaccine.,5,1
37,Acquiring immunity naturally is the best.,5,2
38,A strong immune system can actually fight off most strains of HPV so you probably don't really need this vaccine. ,5,3
39,The HPV vaccine is completely unnecessary since the cancer it is supposed to prevent is already preventable by a pap smear.,5,4
13,HPV vaccine was not tested on boys. ,6,1
14,HPV vaccine was tested against a placebo with high amounts of aluminum. ,6,2
15,Vaccine is tested on minorities and underserved because it contains sterility formula.,6,3
16,The vaccine has not gone through testing for carcinogenicity or impairment of fertility.,6,4
17,No vaccine has ever been thoroughly safety tested against a placebo.,6,5
3,HPV vaccine causes cervical cancer.,7,1
27,HPV vaccine Gardasil is a fraud; it causes the very thing it is supposed to prevent,7,2
28,"HPV vaccine CAUSES cancer. It is not effective, does not prevent it, and has never been tested.",7,3
29,"The reason why cancers are appearing in the vaccinated is because the vaccine doesn’t counter all cancer-causing HPV subtypes, only 70-90% of the depending on the vaccine.",7,4
30,The vaccine doesn't work.  It probably CAUSES more cervical cancer than it purports to prevent. ,7,5
31,So the HPV vaccine is supposed to prevent cervical cancer but those vaccinated show a higher incidence of cervical cancer. ,7,6
1,Deaths/injuries due to HPV vaccine.,8,1
2,HPV Vaccine causes infertility/ paralysis/seizures.  ,8,2
4,Doctors warn against HPV vaccine: it can lead to mental retardation.,8,3
5,HPV vaccine is causing myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).,8,4
6,Gardasil paralyzed me and I lost my vision for almost a full day and then years later Merck researchers announced its ineffective and unsafe.,8,5
40,Pharmaceutical companies hide cancer cure and release HPV vaccine. ,9,1
41,The government conceals information about the safety of vaccines.,9,2
42,Pharmaceutical companies purposefully conceal information about the safety of vaccines.,9,3
26,Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.,10,1
