f_id,text,q_id,m_id,short_text
F1,"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).",Q1,"1,2,3,4,5,6",Vaccines are unsafe because of risks of adverse events.
F2,"Lack of confidence in Doctors / Scientists, due to some Scientists explaining why the HPV vaccine is unsafe, the Gardasil creator saying the vaccines are just as dangerous as HPV, children being given too many vaccines, or science / Doctors supporting or explaining the safety and efficacy of HPV vaccines.",Q1,"7,8",Lack of confidence in Doctors / Scientists
F3,"The HPV vaccine was recalled or banned in many countries, such as being ""proven unsafe"" in Europe.",Q1,"9,10",The HPV vaccine was recalled/banned in many countries
F4,"Casting doubt about published research of HPV vaccine, such as Media and Science journals being ""bought"" and not publishing info about lack of HPV vaccine safety, it being hard to find ""independent"" research, Doctors or Scientists not telling the truth about HPV vaccines, or disputed information.",Q1,11,Casting doubt about published research of HPV vaccine
F5,"Unfounded Worry about HPV vaccine ingredients, such as aluminum adjuvant and borax.",Q1,12,Unfounded Worry about VACCINE INGREDIENTS
F11,HPV vaccine was not tested on boys.,Q2,13,HPV vaccine was not tested on boys.
F14,HPV vaccine was tested against a placebo with high amounts of aluminum.,Q2,14,HPV vaccine was tested against a placebo with high amounts of aluminum.
F15,Vaccine is tested on minorities and underserved communities because it contains sterility formula.,Q2,15,Vaccine is tested on minorities and underserved because it contains sterility formula. 
F17,The vaccine has not gone through testing for carcinogenicity or impairment of fertility.,Q2,16,The vaccine has not gone through testing for carcinogenicity or impairment of fertility. 
F18,No vaccine has ever been thoroughly safety tested against a placebo.,Q2,17,No vaccine has ever been thoroughly safety tested against a placebo. 
F23,"Vaccines alter the immune system of a child, such as causing cytokine storm where the immune system attacks the body, especially in young women, girls, and unborn children where the vaccine was designed to destroy their immune systems.",Q3,"18,19,20,21",Vaccines alter the immune system of a child
F27,"Big Pharma puts toxins in the bloodstream through the HPV vaccine, such as aluminum, ""lab engineered DNA"", and a toxin that weakens the blood-brain barrier causing neurological effects.",Q5,"22,23,24,25",Big Pharma puts toxins in the bloodstream. 
F28,Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.,Q6,26,Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.
F35,"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.",Q8,"27,28,29,30,31","HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent "
F39,Vitamins May Be Alternative to HPV Vaccine.,Q11,"33,34",Vitamins May Be Alternative to HPV Vaccine. 
F40,"Mushroom extract, AHCC, helpful in treating HPV.",Q11,"33,35","Mushroom extract, AHCC, helpful in treating HPV."
F41,HPV Vaccine immunity is more protective than natural immunity by lasting longer and giving a better antibody response.,Q12,36,Vaccine immunity is more protective than natural immunity.
F43,Acquiring HPV immunity naturally is the best by naturally fighting off the disease with a strong immune system.,Q12,"36,37,38,39",Acquiring immunity naturally is the best. 
F61,Pharmaceutical companies hide cancer cure and release HPV vaccine.,Q17,40,Pharmaceutical companies hide cancer cure and release HPV vaccine
F63,Governments hide vaccine safety information.,Q18,41,Governments hide vaccine safety information.
F64,"Pharmaceutical companies purposefully conceal information about the safety of vaccines, such as Merck lying about the HPV Gardasil vaccine.",Q19,42,Pharmaceutical companies purposefully conceal information about the safety of vaccines
